"BUSLINE_ID","TRADINGDATE","RUNNO","RUNSTATE","CAR_ID","DRIVER_ID","STIME","ETIME","RELIEFTIME","SSTATIONID","ESTATIONID","EXECUTESTATE","SSTIME","SCAR_ID","SDRIVER_ID","FSTIME","PLANBUSLINE_ID","IS_STUDENT","LINE_IDORI"
2017,"2022-05-13",25,1,,,"18:00","18:30",,,,0,,,,,,,
2017,"2022-05-13",26,0,,,"18:30","19:00",,,,0,,,,,,,
2017,"2022-05-13",26,1,,,"18:30","19:00",,,,0,,,,,,,
2017,"2022-05-13",27,0,,,"19:00","19:30",,,,0,,,,,,,
2017,"2022-05-13",27,1,,,"19:00","19:30",,,,0,,,,,,,
2017,"2022-05-13",28,0,,,"19:30","20:00",,,,0,,,,,,,
2017,"2022-05-13",28,1,,,"19:30","20:00",,,,0,,,,,,,
2017,"2022-05-13",29,0,,,"20:00","20:30",,,,0,,,,,,,
2017,"2022-05-13",29,1,,,"20:00","20:30",,,,0,,,,,,,
2017,"2022-05-13",30,0,,,"20:30","21:00",,,,0,,,,,,,
2017,"2022-05-13",30,1,,,"20:30","21:00",,,,0,,,,,,,
2017,"2022-05-13",31,0,,,"21:00","21:30",,,,0,,,,,,,
2017,"2022-05-13",31,1,,,"21:00","21:30",,,,0,,,,,,,
2017,"2022-05-13",32,0,,,"21:30","22:00",,,,0,,,,,,,
2017,"2022-05-13",32,1,,,"21:30","22:00",,,,0,,,,,,,
2017,"2022-05-13",33,0,,,"22:00","22:30",,,,0,,,,,,,
2017,"2022-05-13",33,1,,,"22:00","22:30",,,,0,,,,,,,
2017,"2022-05-13",34,0,,,"22:30","23:00",,,,0,,,,,,,
2017,"2022-05-13",34,1,,,"22:30","23:00",,,,0,,,,,,,
2017,"2022-05-13",35,0,,,"23:00","23:30",,,,0,,,,,,,
2017,"2022-05-13",35,1,,,"23:00","23:30",,,,0,,,,,,,
2017,"2022-05-14",1,0,,,"06:00","06:30",,,,0,,,,,,,
2017,"2022-05-14",1,1,,,"06:00","06:30",,,,0,,,,,,,
2017,"2022-05-14",2,0,,,"06:30","07:00",,,,0,,,,,,,
2017,"2022-05-14",2,1,,,"06:30","07:00",,,,0,,,,,,,
2017,"2022-05-14",3,0,,,"07:00","07:30",,,,0,,,,,,,
2017,"2022-05-14",3,1,,,"07:00","07:30",,,,0,,,,,,,
2017,"2022-05-14",4,0,,,"07:30","08:00",,,,0,,,,,,,
2017,"2022-05-14",4,1,,,"07:30","08:00",,,,0,,,,,,,
2017,"2022-05-14",5,0,,,"08:00","08:30",,,,0,,,,,,,
2017,"2022-05-14",5,1,,,"08:00","08:30",,,,0,,,,,,,
2017,"2022-05-14",6,0,,,"08:30","09:00",,,,0,,,,,,,
2017,"2022-05-14",6,1,,,"08:30","09:00",,,,0,,,,,,,
2017,"2022-05-14",7,0,,,"09:00","09:30",,,,0,,,,,,,
2017,"2022-05-14",7,1,,,"09:00","09:30",,,,0,,,,,,,
2017,"2022-05-14",8,0,,,"09:30","10:00",,,,0,,,,,,,
2017,"2022-05-14",8,1,,,"09:30","10:00",,,,0,,,,,,,
2017,"2022-05-14",9,0,,,"10:00","10:30",,,,0,,,,,,,
2017,"2022-05-14",9,1,,,"10:00","10:30",,,,0,,,,,,,
2017,"2022-05-14",10,0,,,"10:30","11:00",,,,0,,,,,,,
2017,"2022-05-14",10,1,,,"10:30","11:00",,,,0,,,,,,,
2017,"2022-05-14",11,0,,,"11:00","11:30",,,,0,,,,,,,
2017,"2022-05-14",11,1,,,"11:00","11:30",,,,0,,,,,,,
2017,"2022-05-14",12,0,,,"11:30","12:00",,,,0,,,,,,,
2017,"2022-05-14",12,1,,,"11:30","12:00",,,,0,,,,,,,
2017,"2022-05-14",13,0,,,"12:00","12:30",,,,0,,,,,,,
2017,"2022-05-14",13,1,,,"12:00","12:30",,,,0,,,,,,,
2017,"2022-05-14",14,0,,,"12:30","13:00",,,,0,,,,,,,
2017,"2022-05-14",14,1,,,"12:30","13:00",,,,0,,,,,,,
2017,"2022-05-14",15,0,,,"13:00","13:30",,,,0,,,,,,,
2017,"2022-05-14",15,1,,,"13:00","13:30",,,,0,,,,,,,
2017,"2022-05-14",16,0,,,"13:30","14:00",,,,0,,,,,,,
2017,"2022-05-14",16,1,,,"13:30","14:00",,,,0,,,,,,,
2017,"2022-05-14",17,0,,,"14:00","14:30",,,,0,,,,,,,
2017,"2022-05-14",17,1,,,"14:00","14:30",,,,0,,,,,,,
2017,"2022-05-14",18,0,,,"14:30","15:00",,,,0,,,,,,,
2017,"2022-05-14",18,1,,,"14:30","15:00",,,,0,,,,,,,
2017,"2022-05-14",19,0,,,"15:00","15:30",,,,0,,,,,,,
2017,"2022-05-14",19,1,,,"15:00","15:30",,,,0,,,,,,,
2017,"2022-05-14",20,0,,,"15:30","16:00",,,,0,,,,,,,
2017,"2022-05-14",20,1,,,"15:30","16:00",,,,0,,,,,,,
2017,"2022-05-14",21,0,,,"16:00","16:30",,,,0,,,,,,,
2017,"2022-05-14",21,1,,,"16:00","16:30",,,,0,,,,,,,
2017,"2022-05-14",22,0,,,"16:30","17:00",,,,0,,,,,,,
2017,"2022-05-14",22,1,,,"16:30","17:00",,,,0,,,,,,,
2017,"2022-05-14",23,0,,,"17:00","17:30",,,,0,,,,,,,
2017,"2022-05-14",23,1,,,"17:00","17:30",,,,0,,,,,,,
2017,"2022-05-14",24,0,,,"17:30","18:00",,,,0,,,,,,,
2017,"2022-05-14",24,1,,,"17:30","18:00",,,,0,,,,,,,
2017,"2022-05-14",25,0,,,"18:00","18:30",,,,0,,,,,,,
2017,"2022-05-14",25,1,,,"18:00","18:30",,,,0,,,,,,,
2017,"2022-05-14",26,0,,,"18:30","19:00",,,,0,,,,,,,
2017,"2022-05-14",26,1,,,"18:30","19:00",,,,0,,,,,,,
2017,"2022-05-14",27,0,,,"19:00","19:30",,,,0,,,,,,,
2017,"2022-05-14",27,1,,,"19:00","19:30",,,,0,,,,,,,
2017,"2022-05-14",28,0,,,"19:30","20:00",,,,0,,,,,,,
2017,"2022-05-14",28,1,,,"19:30","20:00",,,,0,,,,,,,
2017,"2022-05-14",29,0,,,"20:00","20:30",,,,0,,,,,,,
